====================================================================================================
ANALIZADOR LÉXICO PARA RUBY
====================================================================================================

Usuario: Angelo
Fecha: 26/11/2025 20:11:19
Archivo analizado: temp_codigo.rb
====================================================================================================

TOKENS RECONOCIDOS:
----------------------------------------------------------------------------------------------------
Tipo                      Valor                          Línea      Posición  
PARENTESIS_DER            )                              33         997       
VARIABLE_LOCAL            header                         34         1007      
PUNTO                     .                              34         1013      
VARIABLE_LOCAL            pack_propagate                 34         1014      
PARENTESIS_IZQ            (                              34         1028      
CONSTANTE                 False                          34         1029      
PARENTESIS_DER            )                              34         1034      
VARIABLE_LOCAL            titulo_frame                   37         1070      
ASIGNACION                =                              37         1083      
VARIABLE_LOCAL            tk                             37         1085      
PUNTO                     .                              37         1087      
CONSTANTE                 Frame                          37         1088      
PARENTESIS_IZQ            (                              37         1093      
VARIABLE_LOCAL            header                         37         1094      
COMA                      ,                              37         1100      
VARIABLE_LOCAL            bg                             37         1102      
ASIGNACION                =                              37         1104      
STRING                    #2d2d44                        37         1105      
PARENTESIS_DER            )                              37         1114      
VARIABLE_LOCAL            titulo_frame                   38         1124      
PUNTO                     .                              38         1136      
VARIABLE_LOCAL            pack                           38         1137      
PARENTESIS_IZQ            (                              38         1141      
VARIABLE_LOCAL            side                           38         1142      
ASIGNACION                =                              38         1146      
STRING                    left                           38         1147      
COMA                      ,                              38         1153      
VARIABLE_LOCAL            padx                           38         1155      
ASIGNACION                =                              38         1159      
INTEGER                   20                             38         1160      
COMA                      ,                              38         1162      
VARIABLE_LOCAL            pady                           38         1164      
ASIGNACION                =                              38         1168      
INTEGER                   10                             38         1169      
PARENTESIS_DER            )                              38         1171      
VARIABLE_LOCAL            tk                             40         1190      
PUNTO                     .                              40         1192      
CONSTANTE                 Label                          40         1193      
PARENTESIS_IZQ            (                              40         1198      
VARIABLE_LOCAL            titulo_frame                   41         1212      
COMA                      ,                              41         1224      
VARIABLE_LOCAL            text                           42         1238      
ASIGNACION                =                              42         1242      
STRING                    🔍 Analizador Ruby              42         1243      
COMA                      ,                              42         1262      
VARIABLE_LOCAL            font                           43         1276      
ASIGNACION                =                              43         1280      
PARENTESIS_IZQ            (                              43         1281      
STRING                    Segoe UI                       43         1282      
COMA                      ,                              43         1292      
INTEGER                   24                             43         1294      
COMA                      ,                              43         1296      
STRING                    bold                           43         1298      
PARENTESIS_DER            )                              43         1304      
COMA                      ,                              43         1305      
VARIABLE_LOCAL            bg                             44         1319      
ASIGNACION                =                              44         1321      
STRING                    #2d2d44                        44         1322      
COMA                      ,                              44         1331      
VARIABLE_LOCAL            fg                             45         1345      
ASIGNACION                =                              45         1347      
STRING                    #ffffff                        45         1348      
PARENTESIS_DER            )                              46         1366      
PUNTO                     .                              46         1367      
VARIABLE_LOCAL            pack                           46         1368      
PARENTESIS_IZQ            (                              46         1372      
VARIABLE_LOCAL            anchor                         46         1373      
ASIGNACION                =                              46         1379      
STRING                    w                              46         1380      
PARENTESIS_DER            )                              46         1383      
VARIABLE_LOCAL            tk                             48         1402      
PUNTO                     .                              48         1404      
CONSTANTE                 Label                          48         1405      
PARENTESIS_IZQ            (                              48         1410      
VARIABLE_LOCAL            titulo_frame                   49         1424      
COMA                      ,                              49         1436      
VARIABLE_LOCAL            text                           50         1450      
ASIGNACION                =                              50         1454      
STRING                    Análisis Léxico, Sintáctico y Semántico 50         1455      
COMA                      ,                              50         1496      
VARIABLE_LOCAL            font                           51         1510      
ASIGNACION                =                              51         1514      
PARENTESIS_IZQ            (                              51         1515      
STRING                    Segoe UI                       51         1516      
COMA                      ,                              51         1526      
INTEGER                   11                             51         1528      
PARENTESIS_DER            )                              51         1530      
COMA                      ,                              51         1531      
VARIABLE_LOCAL            bg                             52         1545      
ASIGNACION                =                              52         1547      
STRING                    #2d2d44                        52         1548      
COMA                      ,                              52         1557      
VARIABLE_LOCAL            fg                             53         1571      
ASIGNACION                =                              53         1573      
STRING                    #a0a0a0                        53         1574      
PARENTESIS_DER            )                              54         1592      
PUNTO                     .                              54         1593      
VARIABLE_LOCAL            pack                           54         1594      
PARENTESIS_IZQ            (                              54         1598      
VARIABLE_LOCAL            anchor                         54         1599      
ASIGNACION                =                              54         1605      
STRING                    w                              54         1606      
PARENTESIS_DER            )                              54         1609      
VARIABLE_LOCAL            btn_frame                      57         1693      
ASIGNACION                =                              57         1703      
VARIABLE_LOCAL            tk                             57         1705      
PUNTO                     .                              57         1707      
CONSTANTE                 Frame                          57         1708      
PARENTESIS_IZQ            (                              57         1713      
VARIABLE_LOCAL            header                         57         1714      
COMA                      ,                              57         1720      
VARIABLE_LOCAL            bg                             57         1722      
ASIGNACION                =                              57         1724      
STRING                    #2d2d44                        57         1725      
PARENTESIS_DER            )                              57         1734      
VARIABLE_LOCAL            btn_frame                      58         1744      
